ensembl_gene_id	miRNA_ID	MI
ZFYVE27	hsa-mir-1307	0.0926335
GBX2	hsa-mir-3936	0.0926313
PROSER3	hsa-mir-330	0.0926234
PPP4R3B	hsa-mir-6511b-2	0.0925538
MLYCD	hsa-mir-425	0.0924967
BLVRA	hsa-mir-30c-2	0.0924859
TAPBPL	hsa-mir-24-1	0.092458
ZNF665	hsa-mir-769	0.0924547
SGSH	hsa-mir-191	0.092414
SPRN	hsa-mir-224	0.0924135
PBOV1	hsa-mir-34b	0.0923399
RTCB	hsa-mir-27a	0.0923209
IGBP1P2	hsa-mir-5695	0.0922856
SMG8	hsa-mir-454	0.0922634
NAA16	hsa-mir-3613	0.0922467
LRRC14	hsa-mir-151a	0.0922341
IGSF3	hsa-mir-150	0.0922325
ADAM10	hsa-mir-3126	0.0922209
UBXN8	hsa-mir-330	0.0921944
SMARCC2	hsa-mir-3667	0.0921852
MAP3K3	hsa-mir-26a-2	0.0921088
MINPP1	hsa-mir-576	0.0921012
SLC5A6	hsa-mir-874	0.0920919
KLF7	hsa-mir-2355	0.0920907
POLR2K	hsa-mir-4640	0.0920576
SYN1	hsa-mir-4728	0.0920255
DIAPH1	hsa-mir-1226	0.0920247
TBX6	hsa-mir-320b-2	0.0919686
DOCK9	hsa-mir-17	0.0919511
IDUA	hsa-mir-362	0.091939
NLRP6	hsa-mir-548q	0.0919301
POLR2C	hsa-mir-6511b-2	0.0919258
SMIM30	hsa-mir-652	0.0919199
REXO4	hsa-mir-369	0.0919096
SHTN1	hsa-mir-1307	0.0919021
TUT4	hsa-mir-548k	0.0918949
ADTRP	hsa-mir-339	0.0918869
HIPK1	hsa-mir-197	0.0918741
TTPA	hsa-mir-4444-1	0.0918424
DOCK9	hsa-mir-92a-2	0.0918255
SDHA	hsa-mir-454	0.0918018
RAP1GAP	hsa-mir-629	0.0917894
VGLL3	hsa-mir-652	0.0917802
NSDHL	hsa-mir-659	0.0917496
NFRKB	hsa-mir-3136	0.0917319
PTCD1	hsa-mir-25	0.0917173
PSME4	hsa-mir-5000	0.0917139
PRAMEF12	hsa-mir-3176	0.0916891
TMEM151A	hsa-mir-15b	0.0916824
HEATR5A	hsa-mir-330	0.091659
LRRC8E	hsa-mir-375	0.0916548
PARD6A	hsa-mir-328	0.09165
MPEG1	hsa-mir-223	0.0916469
LRIG1	hsa-mir-590	0.0916231
HDAC3	hsa-mir-584	0.0915946
IRF7	hsa-mir-1256	0.091594
CFAP91	hsa-mir-219b	0.0915713
PRAMEF7	hsa-mir-1224	0.0915609
ADAM32	hsa-mir-450b	0.0915505
