ensembl_gene_id	miRNA_ID	MI
ZNF407	hsa-mir-1910	0.202137
TLR5	hsa-let-7g	0.202077
SVIL	hsa-mir-548d-2	0.201969
CFAP161	hsa-mir-548au	0.20196
CERT1	hsa-mir-1468	0.201797
GYPE	hsa-mir-3680-2	0.201685
MYCBP	hsa-mir-6741	0.201539
GATB	hsa-mir-1976	0.201511
ZNF207	hsa-mir-193a	0.201192
UTP25	hsa-mir-34c	0.201123
CHRNB2	hsa-mir-3198-2	0.201084
NCF2	hsa-mir-27a	0.201057
GALM	hsa-mir-4793	0.200978
ADCYAP1	hsa-mir-193a	0.200952
WFS1	hsa-mir-4461	0.20084
TALDO1	hsa-mir-3614	0.200807
ZNF564	hsa-mir-6516	0.200651
PRDM12	hsa-mir-455	0.200541
NR4A3	hsa-mir-874	0.200491
SLC22A25	hsa-mir-4657	0.200452
MYOM2	hsa-mir-139	0.200333
CCR10	hsa-mir-3922	0.200321
CRHBP	hsa-mir-324	0.20026
SPAG1	hsa-mir-34a	0.200256
IBSP	hsa-mir-103a-2	0.200174
TMPRSS3	hsa-mir-181d	0.200096
TBC1D8B	hsa-let-7g	0.1999
KRT38	hsa-mir-144	0.199888
TMEM30B	hsa-mir-548o	0.199725
GPS1	hsa-mir-203a	0.199703
NECTIN2	hsa-mir-548aw	0.1997
ZNF117	hsa-mir-10a	0.199673
SMC5	hsa-mir-6824	0.199405
CHMP4B	hsa-mir-605	0.199324
MROH8	hsa-mir-320d-1	0.199248
NAF1	hsa-mir-4662a	0.199089
TTLL12	hsa-mir-655	0.199074
KMT5C	hsa-mir-655	0.199029
PRLR	hsa-mir-1301	0.198967
CPTP	hsa-mir-500a	0.19892
MAGEA9B	hsa-mir-548aw	0.198748
STXBP4	hsa-mir-409	0.198668
HDHD2	hsa-mir-675	0.198657
TEX264	hsa-mir-6509	0.198581
MED8	hsa-mir-107	0.198498
FGF9	hsa-mir-337	0.198293
FAM183A	hsa-mir-191	0.198292
SLC5A10	hsa-mir-154	0.198188
P3H2	hsa-mir-548o-2	0.198112
CCDC60	hsa-mir-135b	0.198105
IGHMBP2	hsa-mir-3940	0.198103
SERPINE1	hsa-mir-7-2	0.198013
VDAC1	hsa-mir-642a	0.197963
APOBR	hsa-mir-6834	0.197941
VAPA	hsa-mir-151b	0.197921
ZNF519	hsa-mir-2115	0.197917
GALNT10	hsa-let-7f-1	0.197913
CMIP	hsa-mir-342	0.197866
MTHFD2L	hsa-mir-548q	0.197846
SFTPD	hsa-mir-214	0.197838
ZMIZ2	hsa-mir-151a	0.197819
AHCYL2	hsa-mir-96	0.1978
AP3B2	hsa-mir-4419b	0.19778
FBXO44	hsa-mir-6503	0.197749
MEPE	hsa-mir-103a-2	0.19772
TIFA	hsa-mir-509-3	0.197712
ZNF649	hsa-mir-4755	0.197656
NR1I3	hsa-mir-1270	0.19763
NELL1	hsa-mir-409	0.1976
SLC9A3R2	hsa-mir-542	0.197569
C7orf25	hsa-mir-5694	0.197562
BCLAF3	hsa-mir-5008	0.197486
FAM136A	hsa-mir-19a	0.197466
CHM	hsa-mir-3942	0.19736
FGF17	hsa-mir-6868	0.197348
ELP6	hsa-mir-548d-1	0.197314
SVIP	hsa-mir-3653	0.197303
RASGRF1	hsa-mir-664a	0.197195
BRMS1L	hsa-mir-20b	0.197185
CATIP	hsa-mir-4714	0.197107
TMEM167A	hsa-mir-411	0.197065
ALKBH3	hsa-mir-339	0.197025
NXPE1	hsa-mir-219b	0.196924
PCBD1	hsa-mir-3127	0.196883
CFAP61	hsa-mir-605	0.196798
METAP1D	hsa-mir-409	0.196746
TOMM40	hsa-mir-576	0.196696
FUZ	hsa-mir-10a	0.196644
WWC3	hsa-mir-940	0.196591
COL4A2	hsa-mir-4786	0.196579
TMEM237	hsa-mir-1-1	0.196555
RAB9A	hsa-mir-5684	0.196496
PI16	hsa-mir-376c	0.196489
OTOGL	hsa-mir-509-3	0.196463
S100A16	hsa-mir-4420	0.196451
ZCCHC4	hsa-mir-4793	0.196406
TMEM132B	hsa-mir-3607	0.196374
COPS6	hsa-mir-93	0.196342
DPP10	hsa-mir-4756	0.196332
MSL3	hsa-mir-29b-1	0.196145
MEX3A	hsa-mir-656	0.196144
ETNK1	hsa-mir-1248	0.196093
RAET1E	hsa-mir-1254-1	0.196073
GIGYF1	hsa-mir-580	0.19606
C17orf75	hsa-mir-4725	0.195888
SPOCD1	hsa-mir-605	0.195815
ZNF441	hsa-mir-424	0.195793
KLKB1	hsa-mir-4714	0.195733
RAD51C	hsa-mir-4728	0.195722
LRRC57	hsa-mir-580	0.195666
PCDH1	hsa-mir-1343	0.195442
OXSM	hsa-mir-4665	0.195421
RPL17-C18orf32	hsa-mir-4701	0.19538
SLURP1	hsa-mir-150	0.195334
DLG3	hsa-mir-6511b-1	0.195306
CTIF	hsa-mir-3074	0.195264
ETAA1	hsa-mir-3942	0.195255
KAT5	hsa-mir-4640	0.195192
ABHD18	hsa-mir-1270	0.195171
BBOX1	hsa-mir-2276	0.195029
SEMA4B	hsa-mir-136	0.195017
CCL18	hsa-mir-187	0.194971
GFAP	hsa-mir-130a	0.194933
DCLRE1B	hsa-mir-3607	0.194919
ZNF560	hsa-mir-219a-1	0.194865
PUM2	hsa-mir-18a	0.194796
POLR2C	hsa-mir-2355	0.194795
NFE2L1	hsa-mir-152	0.194766
C9orf153	hsa-mir-372	0.194759
HR	hsa-mir-3677	0.194733
CUL3	hsa-mir-450b	0.194698
PSMD12	hsa-mir-33b	0.194695
CEBPB	hsa-mir-142	0.194694
MYBL2	hsa-mir-32	0.194692
IRF3	hsa-mir-659	0.194649
CDADC1	hsa-mir-433	0.194635
NHLH2	hsa-mir-3920	0.19463
H2AC19	hsa-mir-375	0.194589
NXT1	hsa-mir-1228	0.194478
RAB15	hsa-mir-450a-2	0.194435
KCNN1	hsa-mir-6833	0.194435
RBP4	hsa-mir-30e	0.194386
ZNF445	hsa-mir-372	0.194341
GLI3	hsa-mir-6894	0.194306
BRF1	hsa-mir-136	0.194268
CPZ	hsa-mir-148a	0.194162
CTNNBL1	hsa-mir-4680	0.194137
FOXO1	hsa-mir-299	0.194123
RGL4	hsa-mir-4461	0.194082
CALD1	hsa-mir-449a	0.193975
CHD6	hsa-mir-1237	0.193912
ZNF449	hsa-mir-432	0.193873
CYP2A7	hsa-mir-125b-2	0.193858
MID1IP1	hsa-mir-6826	0.19385
GCNT3	hsa-mir-30d	0.193761
HSH2D	hsa-mir-4443	0.193758
HESX1	hsa-mir-6511b-2	0.193752
SLFN14	hsa-mir-22	0.193749
DUSP2	hsa-mir-1277	0.193721
MDP1	hsa-mir-10a	0.193719
ALDH1A1	hsa-mir-487b	0.193712
LAMA5	hsa-mir-425	0.193697
SDC4	hsa-mir-320a	0.193684
GALNT16	hsa-mir-33a	0.193639
DALRD3	hsa-mir-425	0.193601
ERV3-1	hsa-mir-93	0.19351
ETV4	hsa-mir-196a-1	0.193434
YPEL1	hsa-mir-6737	0.193423
C6orf132	hsa-mir-34c	0.193417
LARS2	hsa-mir-328	0.193409
SRSF1	hsa-mir-744	0.193385
B4GAT1	hsa-mir-651	0.193268
FAHD1	hsa-mir-1976	0.193248
PRR5L	hsa-mir-140	0.193247
TDRKH	hsa-mir-4662a	0.193213
DENND3	hsa-mir-424	0.193192
VENTX	hsa-mir-3664	0.193099
HRCT1	hsa-mir-199b	0.193094
ALG5	hsa-mir-382	0.193059
RCL1	hsa-mir-34a	0.193057
USP44	hsa-mir-494	0.19305
CDKN1C	hsa-mir-15a	0.193035
PLCD3	hsa-mir-16-2	0.193001
LYPLA2	hsa-mir-1976	0.193001
MED27	hsa-mir-25	0.192963
LRRC47	hsa-mir-301b	0.192943
IDH2	hsa-mir-224	0.192934
TMEM209	hsa-mir-4638	0.1929
NUS1	hsa-mir-1306	0.192838
CHIC1	hsa-mir-1307	0.192817
FAM180A	hsa-mir-518e	0.192747
FBXO6	hsa-mir-6503	0.19274
CLEC1A	hsa-mir-379	0.192684
ARFGAP3	hsa-mir-5695	0.19266
SLC7A6OS	hsa-mir-181c	0.19266
MINDY1	hsa-mir-4793	0.192641
VPREB3	hsa-mir-552	0.192636
IGF1R	hsa-mir-3664	0.192605
PPA1	hsa-mir-374a	0.192603
DUSP12	hsa-mir-369	0.19243
ZNF696	hsa-mir-1976	0.192408
C6orf132	hsa-mir-328	0.192396
LRG1	hsa-mir-200b	0.192395
SYNGR1	hsa-mir-382	0.192286
MRPL3	hsa-mir-765	0.19228
MX2	hsa-let-7b	0.192273
IGFALS	hsa-mir-600	0.192257
CA14	hsa-mir-1277	0.192224
FN3KRP	hsa-mir-3680-1	0.192212
CAVIN3	hsa-mir-29b-1	0.192195
PDAP1	hsa-mir-580	0.192171
ATP10B	hsa-mir-92a-1	0.192166
GPNMB	hsa-mir-1249	0.19216
GTDC1	hsa-mir-4665	0.192146
NIBAN1	hsa-mir-655	0.192108
TNFAIP1	hsa-mir-423	0.19208
SIK2	hsa-mir-25	0.19203
NLGN2	hsa-mir-1226	0.192004
TPP1	hsa-mir-500a	0.191992
ADCY5	hsa-mir-182	0.191832
PLA2G2C	hsa-mir-5008	0.191826
BSPRY	hsa-mir-4665	0.191825
CDK5RAP3	hsa-mir-1270	0.191761
CLEC2L	hsa-mir-539	0.191662
ADK	hsa-mir-598	0.19165
LMOD3	hsa-mir-6854	0.191648
NPY1R	hsa-mir-582	0.191584
