ensembl_gene_id	miRNA_ID	MI
ALKBH4	hsa-mir-106b	0.10317
FUT3	hsa-mir-769	0.103147
VNN3	hsa-mir-223	0.103054
UGGT1	hsa-mir-128-2	0.102969
MCU	hsa-mir-342	0.102939
GTPBP2	hsa-mir-4699	0.102916
DNAJC3	hsa-mir-92a-2	0.102911
ZFP37	hsa-mir-339	0.102857
FOXI2	hsa-mir-744	0.102768
PCED1B	hsa-mir-195	0.102749
EIF4B	hsa-mir-148b	0.102723
DCDC2	hsa-mir-141	0.102694
MS4A14	hsa-mir-141	0.102665
PIM2	hsa-mir-148a	0.102656
ACADSB	hsa-mir-29a	0.102653
ANKRD13C	hsa-mir-6087	0.102594
FOXN1	hsa-mir-144	0.102586
ACVR1	hsa-mir-128-1	0.102528
FBXL7	hsa-mir-24-1	0.10251
HHIPL2	hsa-mir-6824	0.102484
PMPCA	hsa-mir-26a-2	0.102456
CYTH2	hsa-mir-125a	0.102446
CXCL10	hsa-mir-4661	0.102406
SEC11C	hsa-mir-486-2	0.102385
FCRL5	hsa-mir-148a	0.102359
FOXP4	hsa-mir-6837	0.102333
GPR63	hsa-mir-128-1	0.102324
ZCCHC3	hsa-mir-151a	0.102284
ZSCAN26	hsa-mir-23c	0.102245
MBD5	hsa-mir-128-2	0.10223
ZNF780A	hsa-mir-146a	0.102204
HLX	hsa-mir-215	0.102203
SNX30	hsa-let-7i	0.102192
EML2	hsa-mir-330	0.10218
OSBPL7	hsa-mir-190a	0.10217
ARPP19	hsa-mir-6762	0.102166
ABCF3	hsa-mir-34c	0.102163
PSMC5	hsa-mir-26a-2	0.10216
GABARAP	hsa-mir-324	0.102109
CCDC77	hsa-mir-200c	0.102092
CXorf65	hsa-mir-342	0.102066
PELI3	hsa-mir-576	0.102063
CST5	hsa-mir-96	0.102033
STRADB	hsa-mir-126	0.102018
CALB1	hsa-mir-423	0.101967
SNX25	hsa-mir-4782	0.101916
TNFRSF25	hsa-mir-570	0.101915
TAF5	hsa-mir-378c	0.101908
RPL5	hsa-mir-197	0.101866
POLR3D	hsa-mir-320a	0.101852
SPACA6	hsa-mir-99b	0.10182
RPL26	hsa-mir-324	0.101801
CNNM3	hsa-mir-3127	0.101752
DBT	hsa-mir-3655	0.101747
ACAA1	hsa-mir-191	0.101743
C12orf4	hsa-mir-200c	0.101709
BTNL8	hsa-let-7c	0.101694
SV2C	hsa-mir-4782	0.101661
HMGA1	hsa-mir-17	0.101657
UNC5A	hsa-let-7c	0.101635
THNSL2	hsa-mir-181b-2	0.101577
TENT5C	hsa-mir-29c	0.101572
CDC16	hsa-mir-92a-2	0.101526
PNOC	hsa-mir-29c	0.101514
TMEM156	hsa-mir-454	0.101509
GALNT4	hsa-mir-23b	0.101491
FAM131C	hsa-mir-506	0.101491
RUVBL2	hsa-mir-769	0.101486
SRM	hsa-mir-3188	0.101388
GRWD1	hsa-mir-6741	0.101388
CLPTM1L	hsa-mir-377	0.101379
USP51	hsa-mir-6877	0.101371
NUP88	hsa-mir-324	0.101352
ZFP91	hsa-mir-4782	0.101332
PFAS	hsa-mir-6510	0.101332
ZKSCAN5	hsa-mir-25	0.101306
HAS3	hsa-mir-3074	0.101297
TMEM126A	hsa-mir-221	0.101261
PPM1B	hsa-mir-6716	0.101255
TRAPPC14	hsa-mir-25	0.101246
TNFRSF10B	hsa-mir-320a	0.101241
ZBTB22	hsa-mir-584	0.101192
CTCF	hsa-mir-26a-2	0.101188
DCAF4	hsa-mir-6865	0.101116
ZNF432	hsa-mir-99b	0.10111
ENDOV	hsa-mir-4724	0.101043
TRPV4	hsa-mir-3615	0.101037
RIOK1	hsa-mir-4668	0.101009
SV2A	hsa-mir-455	0.100976
CALR	hsa-mir-342	0.100965
CEMIP2	hsa-mir-3127	0.100945
SSB	hsa-mir-128-1	0.100944
FMO3	hsa-mir-5699	0.100936
PRKRA	hsa-mir-128-2	0.100916
KDM6B	hsa-mir-324	0.100888
SASS6	hsa-mir-197	0.100871
RBCK1	hsa-mir-1307	0.100862
SPTAN1	hsa-mir-130b	0.100858
C5	hsa-mir-16-2	0.100844
ACCS	hsa-mir-125b-1	0.100784
HNF4G	hsa-mir-18a	0.100778
LARP7	hsa-mir-576	0.100756
COX5A	hsa-mir-937	0.100754
GAP43	hsa-mir-3170	0.100712
COG7	hsa-mir-501	0.100675
PRPF40A	hsa-mir-128-1	0.100673
TAF6	hsa-mir-25	0.100646
SHANK1	hsa-mir-4725	0.10064
PMCH	hsa-mir-5706	0.100631
TNN	hsa-mir-27b	0.100599
PEG10	hsa-mir-142	0.100584
NLRP6	hsa-mir-3655	0.10057
SALL2	hsa-mir-29a	0.100542
TCP10L2	hsa-mir-671	0.100513
AIF1L	hsa-mir-5003	0.100501
TMEM115	hsa-mir-191	0.100464
NFKBIL1	hsa-mir-375	0.100436
NIT1	hsa-mir-584	0.100408
TGFBR3	hsa-mir-125b-2	0.100398
NLRP6	hsa-let-7a-1	0.100393
EFCC1	hsa-mir-659	0.100344
NRP1	hsa-mir-6777	0.100344
CXCL11	hsa-mir-4461	0.100324
ZMIZ1	hsa-mir-590	0.100294
FBXW11	hsa-mir-141	0.100294
ARHGEF10L	hsa-mir-3115	0.100289
TMEM70	hsa-mir-6868	0.100246
HSD11B2	hsa-mir-3920	0.100229
HOXA4	hsa-mir-196b	0.100208
BUB3	hsa-mir-6511b-1	0.100199
CAND2	hsa-mir-92b	0.100197
COL2A1	hsa-mir-140	0.100187
TMEM199	hsa-mir-423	0.100178
ZNF562	hsa-mir-3920	0.10017
SYT10	hsa-mir-221	0.100133
NUP93	hsa-mir-328	0.100068
INHBA	hsa-mir-140	0.100042
UBN2	hsa-mir-6865	0.100029
GAP43	hsa-mir-423	0.100027
CRTAC1	hsa-mir-4725	0.100015
TMEM71	hsa-mir-187	0.0999652
UGT2B10	hsa-mir-140	0.0999451
TPST1	hsa-mir-10b	0.0999438
RRAGC	hsa-mir-30e	0.0999247
ZFR	hsa-mir-579	0.0999234
HDAC4	hsa-mir-140	0.0998856
MYCBP	hsa-mir-30c-1	0.099885
SERGEF	hsa-mir-550a-3	0.0998799
ZCCHC3	hsa-mir-149	0.0998676
HNRNPUL1	hsa-mir-769	0.0998468
XRCC5	hsa-mir-26b	0.0998345
PMPCA	hsa-mir-26a-1	0.0997983
MAP2K7	hsa-mir-4733	0.0997942
WDR70	hsa-mir-580	0.0997936
MTSS1	hsa-mir-96	0.0997557
PIM2	hsa-mir-299	0.0997203
H1-0	hsa-mir-874	0.0997061
ZNF429	hsa-mir-4701	0.0996712
PRAF2	hsa-mir-660	0.0996682
NUSAP1	hsa-mir-600	0.0996455
BIVM	hsa-mir-92a-2	0.099638
ING3	hsa-mir-25	0.0996308
SMAD5	hsa-mir-187	0.0996195
EMP2	hsa-mir-133b	0.0996122
GTF2E1	hsa-mir-543	0.0996073
SRPK2	hsa-mir-93	0.0996041
CDHR2	hsa-mir-16-2	0.0995881
SAMD9	hsa-mir-147b	0.0995777
FLT3	hsa-mir-411	0.0995658
CASP2	hsa-mir-25	0.0995608
CALY	hsa-mir-378a	0.0995327
GAS2L1	hsa-mir-30e	0.0994904
PACSIN1	hsa-mir-92b	0.0994619
MRM2	hsa-mir-339	0.099444
OSGIN1	hsa-mir-6087	0.0994354
CBFB	hsa-mir-140	0.0994227
LRFN2	hsa-mir-6510	0.0993885
GPD1L	hsa-mir-15a	0.0993716
