ensembl_gene_id	miRNA_ID	MI
TOPAZ1	hsa-mir-6865	0.0522229
CFAP73	hsa-mir-6821	0.0521965
NPEPPS	hsa-mir-423	0.0521374
PDAP1	hsa-mir-93	0.0521177
ABR	hsa-mir-324	0.0521113
KCNQ2	hsa-mir-4793	0.0521036
KNCN	hsa-mir-5004	0.0520938
C1orf52	hsa-mir-186	0.0520911
RANBP1	hsa-mir-324	0.0520899
PITRM1	hsa-mir-188	0.0520884
LGR5	hsa-mir-466	0.051997
ITPRIPL2	hsa-mir-425	0.0519525
SPATA21	hsa-mir-5193	0.051949
ATP9A	hsa-mir-4793	0.0519323
ANKS1B	hsa-mir-200b	0.0518857
CTNNBL1	hsa-mir-4793	0.0518657
PRPF38B	hsa-mir-197	0.0518642
UBE2G1	hsa-mir-744	0.0518601
TMEM102	hsa-mir-744	0.0518384
AGXT	hsa-mir-4793	0.0518299
EPO	hsa-mir-3667	0.0517482
TK2	hsa-mir-328	0.0516836
SPANXN3	hsa-mir-3126	0.0516774
USP4	hsa-mir-191	0.0516611
ANKFY1	hsa-mir-744	0.051654
SRSF11	hsa-mir-186	0.0516142
GNG4	hsa-mir-326	0.0515648
DCAF4L1	hsa-mir-2114	0.0515461
OVOL2	hsa-mir-3936	0.0515225
ROPN1L	hsa-mir-5004	0.0515156
RIMKLA	hsa-mir-4793	0.0515033
CLCN5	hsa-mir-501	0.0514983
GIGYF1	hsa-mir-93	0.0514838
C1QBP	hsa-mir-744	0.0513994
KAT2A	hsa-mir-423	0.0513863
HPGDS	hsa-mir-92a-1	0.0513743
VPS53	hsa-mir-22	0.0513213
LARS1	hsa-mir-3152	0.051282
SPAG7	hsa-mir-132	0.0512429
ATPAF2	hsa-mir-1180	0.0512108
MRPL10	hsa-mir-3617	0.0511732
RRN3	hsa-mir-574	0.0511697
MUC13	hsa-mir-204	0.0511543
WDR81	hsa-mir-324	0.0510707
COA3	hsa-mir-423	0.0510545
TUBA4B	hsa-mir-5004	0.051046
NA	hsa-mir-195	0.0510446
KPNB1	hsa-mir-423	0.0510416
NR2C2	hsa-mir-4286	0.0510114
MED31	hsa-mir-324	0.0509556
KHDC1	hsa-mir-3936	0.050936
USP36	hsa-mir-1468	0.0508954
CHERP	hsa-mir-424	0.0508847
PFN1	hsa-mir-324	0.0508718
RETREG3	hsa-mir-423	0.0508554
TMA7	hsa-mir-191	0.0508428
H2AC18	hsa-mir-4793	0.0508413
ATP5MG	hsa-mir-202	0.0508395
CDK10	hsa-mir-328	0.0508161
SMG6	hsa-mir-324	0.0508102
PRKD2	hsa-mir-497	0.05079
LPAR1	hsa-mir-197	0.0507614
NUP160	hsa-mir-556	0.0507481
BCAS1	hsa-mir-4756	0.0507338
ENPP3	hsa-mir-193a	0.0507333
TXNL4B	hsa-mir-423	0.0507015
MTMR12	hsa-mir-191	0.0506874
PSMC2	hsa-mir-106b	0.0506846
SCNN1B	hsa-mir-4435-1	0.0506781
PRRC2A	hsa-mir-6826	0.0506511
CFAP46	hsa-mir-5582	0.0506016
SDF2L1	hsa-mir-130b	0.0505527
PAX2	hsa-mir-4723	0.0505333
DENND4A	hsa-mir-4326	0.0505274
FAM216A	hsa-mir-4793	0.0505257
MCIDAS	hsa-mir-5004	0.0505094
SUN1	hsa-mir-589	0.050497
SYN3	hsa-mir-758	0.050494
ZNF12	hsa-mir-101-2	0.0504753
CLEC14A	hsa-mir-126	0.0504394
TMEM168	hsa-mir-1224	0.0504359
RWDD4	hsa-mir-576	0.0504224
PITPNC1	hsa-mir-4793	0.0504165
FAR1	hsa-mir-147b	0.0504138
ZFP3	hsa-mir-324	0.0504012
SMIM12	hsa-mir-660	0.0503995
COG3	hsa-mir-15a	0.0503579
NUP205	hsa-mir-454	0.0503497
WDR48	hsa-let-7g	0.0503288
ARHGEF15	hsa-mir-4715	0.0502893
C1QBP	hsa-mir-22	0.050268
ZBTB25	hsa-mir-628	0.0502401
MAT1A	hsa-mir-199a-1	0.0501872
TLCD3A	hsa-mir-101-1	0.050185
ZNF12	hsa-mir-101-1	0.0501756
EFNA2	hsa-mir-4793	0.0501742
KDM3A	hsa-mir-29a	0.0501476
CD40LG	hsa-mir-150	0.0501344
HAT1	hsa-mir-3622b	0.0501237
UBXN11	hsa-mir-4482	0.0501227
MTG2	hsa-mir-6728	0.0501217
MMS19	hsa-mir-1307	0.0501071
POMP	hsa-mir-4748	0.0500981
RAB15	hsa-mir-4748	0.0500955
NPTX1	hsa-mir-452	0.050091
KCTD8	hsa-mir-23c	0.0500562
CRAMP1	hsa-mir-425	0.0500063
TMEM107	hsa-mir-324	0.0499937
POLD4	hsa-mir-4523	0.0499804
SPINK8	hsa-mir-2115	0.0499666
PTP4A1	hsa-mir-589	0.0499517
PPP1R3B	hsa-mir-183	0.0499208
TTC31	hsa-mir-6738	0.0499148
NCR3	hsa-mir-142	0.0498815
PPFIA3	hsa-mir-4793	0.0498739
ARIH2	hsa-mir-191	0.0498602
MEGF10	hsa-mir-205	0.049845
CDKN1A	hsa-mir-34a	0.0498235
BUD23	hsa-mir-590	0.0498216
